,start_station_id,boro_name
247,4807.02,Queens
248,4812.04,Brooklyn
249,8107.1,Bronx
250,7888.1,Bronx
251,4963.13,Queens
252,7868.05,Bronx
253,4829.01,Brooklyn
254,8044.09,Bronx
255,4517.03,Brooklyn
256,5569.06,Manhattan
257,3736.04,Brooklyn
258,4659.02,Brooklyn
259,7720.03,Manhattan
260,7860.08,Manhattan
261,4816.02,Brooklyn
262,5068.02,Brooklyn
263,7903.02,Manhattan
264,8254.01,Bronx
265,7884.04,Bronx
266,7823.03,Manhattan
267,7790.04,Manhattan
268,5066.03,Queens
269,7723.01,Manhattan
270,7910.01,Manhattan
271,4128.08,Brooklyn
272,4729.01,Brooklyn
273,3460.02,Brooklyn
274,7740.08,Bronx
275,7443.01,Manhattan
276,8088.01,Bronx
277,8018.09,Manhattan
278,7931.05,Bronx
279,4285.09,Brooklyn
280,8111.07,Bronx
281,7100.07,Manhattan
282,7488.24,Manhattan
283,4228.02,Brooklyn
284,8456.02,Bronx
285,4680.05,Brooklyn
286,5593.01,Manhattan
287,6280.12,Manhattan
288,7976.08,Manhattan
289,4494.04,Brooklyn
290,5004.02,Brooklyn
291,4422.04,Brooklyn
292,4074.03,Brooklyn
293,5184.08,Manhattan
294,3266.01,Brooklyn
295,4307.13,Brooklyn
296,7579.01,Manhattan
297,6890.01,Manhattan
298,3230.01,Brooklyn
299,4425.02,Brooklyn
300,4546.04,Brooklyn
301,5863.07,Manhattan
302,8194.06,Bronx
303,4437.09,Brooklyn
304,7386.1,Manhattan
305,7079.06,Manhattan
306,7793.02,Bronx
307,4222.02,Brooklyn
308,8353.02,Manhattan
309,7703.14,Bronx
310,8520.01,Bronx
311,8416.07,Manhattan
312,5354.01,Brooklyn
313,5743.02,Brooklyn
314,4843.01,Brooklyn
315,7883.06,Bronx
316,4895.09,Brooklyn
317,3135.04,Brooklyn
318,8049.1,Manhattan
319,3353.04,Brooklyn
320,8586.09,Bronx
321,7567.06,Manhattan
322,4775.01,Brooklyn
323,4214.03,Brooklyn
324,4357.01,Brooklyn
325,8085.13,Manhattan
326,5084.03,Brooklyn
327,8496.01,Manhattan
328,8632.07,Manhattan
329,7188.1,Manhattan
330,5262.09,Manhattan
331,8579.05,Manhattan
332,5602.06,Manhattan
333,8665.09,Manhattan
334,4479.06,Brooklyn
335,7188.13,Manhattan
336,7047.07,Queens
337,5561.04,Manhattan
338,6398.06,Manhattan
339,7800.03,Manhattan
340,3501.01,Brooklyn
341,5669.12,Manhattan
342,8575.02,Bronx
343,8613.09,Manhattan
344,8358.1,Manhattan
345,3220.01,Brooklyn
346,8041.07,Bronx
347,8474.02,Manhattan
348,5436.11,Manhattan
349,8491.07,Manhattan
350,6441.02,Manhattan
351,5938.11,Manhattan
352,3312.07,Brooklyn
353,5442.05,Brooklyn
354,7327.01,Manhattan
355,5955.12,Manhattan
356,7658.13,Manhattan
357,7954.12,Manhattan
358,5659.11,Manhattan
359,7650.05,Manhattan
360,5282.02,Brooklyn
361,5148.03,Brooklyn
362,5746.02,Manhattan
363,5190.07,Manhattan
364,5914.08,Manhattan
365,6432.11,Manhattan
366,3117.05,Brooklyn
367,6662.09,Queens
368,8265.09,Bronx
369,6464.09,Manhattan
370,5406.02,Manhattan
371,6659.1,Manhattan
372,5379.1,Brooklyn
373,7113.08,Manhattan
374,7082.14,Queens
375,4392.04,Brooklyn
376,8432.04,Manhattan
377,3253.01,Brooklyn
378,3084.05,Brooklyn
379,8547.04,Manhattan
380,8399.06,Manhattan
381,5687.04,Manhattan
382,3834.1,Brooklyn
383,7774.02,Manhattan
384,3050.03,Brooklyn
385,8453.14,Manhattan
386,5687.11,Manhattan
387,8213.01,Bronx
388,4107.05,Brooklyn
389,7845.1,Bronx
390,3388.02,Brooklyn
391,4751.01,Brooklyn
392,4873.08,Brooklyn
393,4956.02,Brooklyn
394,7853.01,Bronx
395,4568.01,Brooklyn
396,8290.01,Bronx
397,7991.01,Bronx
398,7935.07,Bronx
399,5170.01,Brooklyn
400,7952.02,Bronx
401,4474.01,Brooklyn
402,4522.07,Brooklyn
403,4784.02,Brooklyn
404,4582.05,Brooklyn
405,4920.11,Manhattan
406,5108.01,Brooklyn
407,3940.04,Brooklyn
408,8649.03,Bronx
409,5250.05,Brooklyn
410,4816.05,Brooklyn
411,8344.04,Bronx
412,8225.05,Bronx
413,5332.1,Brooklyn
414,8720.02,Bronx
415,8156.03,Bronx
416,8778.01,Bronx
417,8186.01,Bronx
418,7271.01,Queens
419,7807.04,Bronx
420,8707.01,Bronx
421,7835.1,Bronx
422,8643.01,Bronx
423,4890.11,Brooklyn
424,5860.02,Brooklyn
425,4768.02,Brooklyn
426,7913.15,Bronx
427,6554.05,Queens
428,4735.16,Queens
429,8752.01,Bronx
430,7918.12,Bronx
431,4422.05,Brooklyn
432,5096.11,Manhattan
433,7777.02,Bronx
434,8348.02,Bronx
435,8472.06,Bronx
436,7812.01,Bronx
437,4605.04,Brooklyn
438,4290.08,Brooklyn
439,5270.07,Manhattan
440,4336.01,Brooklyn
441,4263.12,Brooklyn
442,8040.03,Bronx
443,7925.04,Manhattan
444,4339.01,Brooklyn
445,4994.1,Queens
446,8555.05,Bronx
447,8699.01,Bronx
448,8156.01,Bronx
449,8095.06,Bronx
450,6072.06,Manhattan
451,7669.1,Bronx
452,7226.03,Queens
453,8277.03,Bronx
454,8096.03,Bronx
455,8216.02,Bronx
456,7504.12,Manhattan
457,8190.03,Bronx
458,5575.13,Manhattan
459,5146.03,Queens
460,4095.03,Brooklyn
461,7648.16,Manhattan
462,8682.06,Bronx
463,3019.02,Brooklyn
464,8782.01,Bronx
465,8636.04,Manhattan
466,4856.05,Brooklyn
467,7610.13,Manhattan
468,7922.01,Bronx
469,8403.02,Bronx
470,8664.06,Bronx
471,3931.09,Brooklyn
472,2971.02,Brooklyn
473,4327.09,Brooklyn
474,6131.13,Manhattan
475,4953.04,Manhattan
476,5581.01,Brooklyn
477,8175.06,Bronx
478,8795.01,Bronx
479,3000.08,Brooklyn
480,3879.04,Brooklyn
481,7068.07,Queens
482,3379.03,Brooklyn
483,6890.06,Manhattan
484,3166.03,Brooklyn
485,5159.07,Manhattan
486,8144.09,Bronx
487,5114.06,Manhattan
488,4019.06,Brooklyn
489,6756.05,Manhattan
490,5065.04,Manhattan
491,6766.03,Queens
492,8191.01,Manhattan
493,6789.04,Queens
494,6429.01,Queens
495,7849.1,Bronx
496,8076.01,Bronx
497,5093.01,Brooklyn
498,3842.08,Brooklyn
