,start_station_id,start_lat,start_lng
273355,5156.05,40.70934,-73.95608
273384,3981.1,40.67363551341504,-74.01195555925369
273395,4377.04,40.68488,-73.96304
273465,7233.05,40.7787185,-73.9145645
273480,5633.04,40.72606,-73.95621
273572,7896.11,40.819823,-73.912411
273635,8149.09,40.834457,-73.928381
273697,4119.04,40.6783563,-74.00014502
273751,8024.05,40.827184,-73.893721
273846,7995.04,40.824,-73.91089
273867,5270.09,40.71310702305908,-73.99446353316307
273899,6644.04,40.75645824,-73.99372222
273940,5326.06,40.71782143,-73.97628939
273982,6887.03,40.76547569244953,-73.91811579465866
274075,8528.05,40.86012,-73.928489
274076,3233.06,40.647105,-74.004483
274173,6247.06,40.746647,-73.993915
274185,7291.06,40.78145,-73.9183302
274193,6711.13,40.75905795418586,-73.91897544264793
274295,7979.01,40.822267,-73.916792
274322,7755.03,40.811112,-73.914932
274324,6901.01,40.7668,-73.9347774
274336,6814.01,40.7639089,-73.9477213
274359,8068.01,40.829896,-73.907618
274413,8004.03,40.824956,-73.891677
274427,5140.06,40.709897,-73.94008
274457,7983.04,40.825322,-73.887729
274588,6572.08,40.75651272984955,-73.92957486212252
274589,7979.17,40.824811,-73.916407
274592,8005.08,40.82441,-73.92818
274634,7009.02,40.7713937,-73.9077436
274691,6587.04,40.755389,-73.911517
274705,8262.07,40.842941,-73.938631
274707,5033.01,40.705945132708806,-74.01321887969969
274759,5099.03,40.707174,-73.93581
274797,7391.02,40.785994,-73.915098
274813,7363.04,40.784003,-73.912297
274853,6774.13,40.761294,-73.909562
274904,5709.03,40.72755807335852,-73.95505852997303
274908,8025.01,40.826677,-73.929327
274935,5506.1,40.72368361,-73.97574813
274958,8715.01,40.872412,-73.912807
274995,3555.04,40.659555,-73.995068
275056,7642.04,40.80262,-73.9174
275105,6563.12,40.7557327,-73.9236611
275121,5736.09,40.72938685,-73.97772429
275199,5125.07,40.70924826276157,-73.96063148975372
275234,7987.14,40.82388366441761,-73.8974027708582
275245,8594.02,40.86308937813274,-73.9175833761692
275254,7944.11,40.821952,-73.888546
275262,5506.14,40.72228087,-73.97668709
275294,8130.02,40.83263,-73.925101
275384,7657.03,40.803399,-73.919763
275429,8048.01,40.82895,-73.90521
275439,8036.05,40.827230499624726,-73.91765579597632
275454,4996.08,40.70510918,-73.94407279
275513,8511.08,40.857994,-73.932173
